Hour,Consumption
0,0.04530858301674832
1,0.046039886764705856
2,0.12904557446895426
3,0.18877587722630723
4,0.22130036196895417
5,0.2415586542687907
6,0.30793758636642163
7,0.3411456583843955
8,0.31766340477493904
9,0.2570341801500406
10,0.1760243074343434
11,0.14473153420202028
12,0.17858736021897803
13,0.17137440846560847
14,0.19139982791970803
15,0.2805033661090838
16,0.39058228040348747
17,0.4295704104927005
18,0.3836571653594769
19,0.2420732627553105
20,0.13570165946275944
21,0.08534937780830279
22,0.060066910052910004
23,0.04830927149979645
